entity,date,open,high,low,close,volume,return,log_return,rsi,macd,atr,momentum,drawdown,autocorrelation,rolling_entropy,volatility_clustering,rolling_volatility_5,sharpe_5,bollinger_z_5,rolling_volatility_14,sharpe_14,bollinger_z_14,rolling_volatility_30,sharpe_30,bollinger_z_30,market_return,beta,sector,inflation_pressure,interest_rate_sensitivity,tariff_exposure,commodity_dependence,geopolitical_instability,conflict_intensity,regulatory_uncertainty,macroeconomic_surprise,narrative_momentum,technology_hype_cycle,public_sentiment_shift,news_sentiment,news_sentiment_variance,article_volume,macro_score,narrative_novelty,narrative_persistence,embedding_centroid_shift,topic_cluster,degree_centrality,betweenness_centrality,clustering_coefficient,pagerank,graph_density,neighborhood_similarity,local_market_influence,sector_correlation_average,etf_exposure_score,contagion_metric,gnn_1,gnn_2,gnn_3,gnn_4,gnn_5,gnn_6,gnn_7,gnn_8,gnn_9,gnn_10,gnn_11,gnn_12,gnn_13,gnn_14,gnn_15,gnn_16,gnn_17,gnn_18,gnn_19,gnn_20,gnn_21,gnn_22,gnn_23,gnn_24,gnn_25,gnn_26,gnn_27,gnn_28,gnn_29,gnn_30,gnn_31,gnn_32
ABAT,2026-01-02,3.4200000762939453,3.7100000381469727,3.3299999237060547,3.700000047683716,3825700.0,,,,0.0,0.38000011444091797,,0.0,,,,,,,,,,,,,,2.2546996122016596,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2520688168629206,-2.4879823378144565,-0.25467250452496243,1.1185683713937522,-0.5136088977616592,-0.6302062323232294,-0.09581970780053126,0.6367960207762331,-0.10252057187391375,-1.4364477616745013,-2.08335084329527,-1.9875214522789992,-0.8373637754942911,0.13219154679970677,-0.37639163143175264,0.15664231525137093,-0.35277816106715204,-0.2695123901198929,-0.3767254590625537,-0.7533687092535144,-0.07672254497224619,0.34067117144714437,0.20317712053721315,0.03444141864452366,-0.37883494094896375,-0.31125768760737393,0.05546968852856729,-0.1935406207602812,-0.02651936456006247,0.10145104146204376,0.0978089090192808,-0.296964827548234
ABBV,2026-01-02,228.74000549316406,230.74000549316406,225.7100067138672,229.30999755859375,3336800.0,,,,0.0,5.029998779296875,,0.0,,,,,,,,,,,,,,0.1703878778204848,Health Care,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,11,0.00101010101010101,0.0,0.0,0.0005585756005029064,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2556182925103305,-2.233089643521118,-0.25410538943529787,0.9523282051347058,-0.44955371963577806,-0.6324929552392641,-0.043163863733747726,0.6026412982123094,0.12012754246247595,-1.127459714868125,-1.9953709055662576,-1.847404547597216,-0.007312497189829251,0.40650984641306664,-0.24901029830462043,0.9726191556694221,-0.7270968447762728,-0.21994707283580417,0.5204775692020652,-0.678740606286217,0.1341400368465954,-0.04460402346709983,0.7907003585600546,0.6348069459411819,-0.44270271297593683,-0.4773633193299913,-0.07653613693130186,-0.230516810001677,0.02141362547165072,0.19480422737076244,-0.3228936319281983,-0.6412414905750797
ABCL,2026-01-02,3.4200000762939453,3.490000009536743,3.3399999141693115,3.430000066757202,4765100.0,,,,0.0,0.15000009536743164,,0.0,,,,,,,,,,,,,,1.8255102108266232,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.252094427344979,-2.488604764211129,-0.253961045938157,1.1189187200969328,-0.513306273458278,-0.6294525942204592,-0.0961086755844552,0.6371383557052865,-0.1026910084923792,-1.4372795211381484,-2.0814444502701264,-1.988461674312927,-0.8383833455285873,0.13109532916718275,-0.3762664590440029,0.1547637686247775,-0.3545781881543711,-0.26579660846156805,-0.37870436443492095,-0.7547786495801696,-0.07688198602997107,0.34228801024109534,0.1997557700537903,0.030047684677424538,-0.378670538632641,-0.30434077265466525,0.06377811242363499,-0.19526635704207249,-0.0363389604651501,0.09946844173917267,0.10315500788931681,-0.2928904202522642
ABEO,2026-01-02,5.300000190734863,5.360000133514404,5.159999847412109,5.309999942779541,1125500.0,,,,0.0,0.20000028610229492,,0.0,,,,,,,,,,,,,,0.7794028218718612,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2522752422108472,-2.4902892853433807,-0.2523447961356261,1.1175334333005267,-0.5107327139813507,-0.6291234059839698,-0.09502960868351083,0.6426657607795089,-0.0965375525662365,-1.4410510200693172,-2.090367454347037,-1.9958506836434684,-0.8397369900817091,0.13839255039267936,-0.37546967610978355,0.15614658663305916,-0.3451389388397559,-0.27428814146403124,-0.38129455554336417,-0.7546294348500515,-0.06820782481801345,0.3384823146409449,0.2100259416073611,0.04284476872799269,-0.3886012005201105,-0.33543154647135814,0.044225025468737994,-0.1942524192847386,-0.030746477542888215,0.12298075031158934,0.09956348761979056,-0.31930146961114897
ABLV,2026-01-02,0.6299999952316284,0.6800000071525574,0.6299999952316284,0.6729999780654907,4800.0,,,,0.0,0.050000011920928955,,0.0,,,,,,,,,,,,,,1.6447681948566257,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2521505288000643,-2.4930258003308703,-0.25259511473604235,1.1196516471907823,-0.5087963481984299,-0.6315179207746002,-0.09804091799425174,0.6437841114171404,-0.09937949903550718,-1.4478261463294027,-2.0909403161984628,-2.0015159240960743,-0.8507039803073206,0.13914507832338274,-0.3755233906209827,0.14012052365440433,-0.33360153571627393,-0.2802482222441015,-0.40144997141194927,-0.7530593391631981,-0.07296846962225167,0.34447383645477414,0.19882422813413292,0.0362595536336582,-0.3849155070244375,-0.34202064530876025,0.038958779247572684,-0.19180452242769422,-0.021339128110955518,0.12182579298904933,0.10170397631023004,-0.31571897529290444
ABNB,2026-01-02,135.94000244140625,136.11000061035156,132.33999633789062,133.00999450683594,3863800.0,,,,0.0,3.7700042724609375,,0.0,,,,,,,,,,,,,,0.5289061600032484,Consumer Discretionary,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,3,0.0030303030303030303,1.9208784812607707e-05,0.0,0.0005359435887584775,0.0030231681089400563,0.7166666666666667,2.15,0.7166666666666667,,0.006515151515151515,-1.2337619113811558,-2.0187546528368467,-0.19160038206638305,0.6994262828090734,-0.7191458464065111,-0.48171026021325286,-0.33408266461447744,0.7241755050372811,0.45239741414065116,-1.002246715073254,-1.9197332396777846,-1.4696485492427749,-0.09872487483913682,-0.09210343206050836,-0.6998312874362675,1.6577073370403148,-1.201579170096423,-0.14457145639049956,1.1137122634918488,-0.7934244225033037,-0.1927568899438831,0.167534594007982,0.5290200405869191,0.24968881384826483,-0.6622773160325129,0.016364592703058588,0.9192212195609887,-0.3182534986910501,-0.011467489963415187,-0.2623334374191415,-0.36280914627598604,-0.41118230816752704
ABOS,2026-01-02,2.130000114440918,2.140000104904175,1.9700000286102295,2.0199999809265137,145900.0,,,,0.0,0.1700000762939453,,0.0,,,,,,,,,,,,,,1.2305989671360407,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2522076793368726,-2.4921060009207183,-0.2524066524225741,1.1188101482373285,-0.5094058811530929,-0.6305573622318632,-0.09678270744255153,0.6437342321183575,-0.09787158520723523,-1.4455204432120097,-2.09141994680364,-1.9999391332271226,-0.8466543136161154,0.1394247167515477,-0.37546993325386185,0.1463246762633302,-0.33729169947359816,-0.2785893357865487,-0.3940887481616608,-0.7536805641178516,-0.07055076244327411,0.3419384808299096,0.20375349754537003,0.03963420246324408,-0.3871017924854689,-0.3419218238425209,0.03948457015175566,-0.19259706964634746,-0.024446013774728836,0.12408966359736928,0.10066003827098774,-0.31910084953154666
ABSI,2026-01-02,3.549999952316284,3.805000066757202,3.490000009536743,3.609999895095825,3614400.0,,,,0.0,0.315000057220459,,0.0,,,,,,,,,,,,,,1.3565026886372977,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2521630981470384,-2.4888132423765685,-0.2534528795456751,1.1183156313044273,-0.5128140436620255,-0.6290064246109083,-0.09529089359169811,0.6387971249357995,-0.10030314146897719,-1.4376790443505336,-2.0845243122925083,-1.99030683703691,-0.8374961914108001,0.1335582346257926,-0.37604645340109477,0.1572889665848942,-0.35277189859357044,-0.2679795465957839,-0.3772606369732279,-0.7549645095996169,-0.07341280861878197,0.34026383018886963,0.20452753729164574,0.03515416354901265,-0.38260858223951455,-0.3144567420108494,0.05754061737329819,-0.19505473591590897,-0.03526578679139968,0.10781692270708591,0.10162005914866751,-0.302533010355037
ABT,2026-01-02,124.69999694824219,125.25,123.63999938964844,124.19000244140625,5014200.0,,,,0.0,1.6100006103515625,,0.0,,,,,,,,,,,,,,0.05337246908487883,Health Care,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,11,0.00101010101010101,0.0,0.0,0.0005585756005029064,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2544058051856068,-2.290039703686764,-0.2398761595389504,0.9950192953463897,-0.41558502621276244,-0.6458806562575929,-0.09010404615635831,0.6316808039229369,0.08024313489029726,-1.2502710108552741,-1.96966248515558,-1.9642922909998788,-0.1946216802034375,0.40084631476832533,-0.24761440550247268,0.6961384816813718,-0.59389830790956,-0.22185987070264007,0.1679313268458652,-0.6938521329319192,0.06943525426393221,0.07969804857877766,0.5488671942151658,0.4395043489140333,-0.4012815910293981,-0.44551650249946895,0.02924629450870545,-0.2323959182124582,-0.07761718603163446,0.16375244883100062,-0.15966339539946248,-0.5247685515269319
ABTC,2026-01-02,1.75,1.840000033378601,1.7000000476837158,1.7799999713897705,10512900.0,,,,0.0,0.13999998569488525,,0.0,,,,,,,,,,,,,,1.9776223930040555,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2519763080468616,-2.4859490755761486,-0.2548878532847378,1.1199955733496947,-0.51714222424686,-0.6275037453943505,-0.09587749156238669,0.6306135090959348,-0.10833793151645492,-1.430307203304596,-2.0690136325970916,-1.9783365239136772,-0.8321612895336651,0.12130880789184811,-0.37708353758780955,0.1597817090817146,-0.37362339337542566,-0.24849765256887715,-0.36757788461837326,-0.7576348962185918,-0.08431049131321301,0.34529759221082396,0.18994202612763778,0.013769525594069963,-0.36957980692806786,-0.2580863287654902,0.09836566926529178,-0.19955250151894746,-0.059272946256683015,0.07175599026602783,0.11254221242017626,-0.2606829232797867
ABTS,2026-01-02,5.340000152587891,5.340000152587891,5.150000095367432,5.150000095367432,800.0,,,,0.0,0.19000005722045898,,0.0,,,,,,,,,,,,,,0.6991998136821848,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2522993190559342,-2.4910374103665247,-0.25205166333199014,1.1174524081316661,-0.5098348656652628,-0.6294782173086834,-0.09519678295913296,0.644138773747841,-0.09544773525172916,-1.442875340290386,-2.0927677361452055,-1.998356949815435,-0.8415661832170889,0.14035423805933184,-0.3752883061063527,0.1543052664695432,-0.34100076724507933,-0.2775721958032247,-0.3846430915127948,-0.7542135723291543,-0.06679227917536047,0.33828107432424015,0.21121631048530481,0.04540907741362481,-0.3904459082364461,-0.3445049703362625,0.03795799135634337,-0.19350605170278876,-0.027092717211683146,0.12862606602192733,0.09848371680996615,-0.32549693404982294
ABUS,2026-01-02,4.860000133514404,4.980000019073486,4.650000095367432,4.769999980926514,1611400.0,,,,0.0,0.3299999237060547,,0.0,,,,,,,,,,,,,,0.8787267977817949,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2522544681415062,-2.48965865049891,-0.25268221238207955,1.1175475971701,-0.5114469262823736,-0.6289700163997959,-0.09476031771287667,0.6416642457296845,-0.09711232400966277,-1.439644525761551,-2.089359888203198,-1.9940997014976913,-0.8382274872561194,0.13746713078722547,-0.37563238754439515,0.15798735470581352,-0.3475016623626257,-0.27290686087898997,-0.3786024877809572,-0.7546842517363033,-0.06893800418801901,0.33817522509397674,0.2101421124849458,0.042248304150131887,-0.38770237236461963,-0.33141616843605337,0.046389148056551005,-0.1943350593783306,-0.031149012020615582,0.12018474395062355,0.09915880776739383,-0.316619875185715
ABVC,2026-01-02,2.130000114440918,2.190000057220459,2.0999999046325684,2.190000057220459,52600.0,,,,0.0,0.09000015258789062,,0.0,,,,,,,,,,,,,,0.9258480015623523,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2522399561942148,-2.4925948199051438,-0.25191413182512734,1.1187997646858583,-0.5089478485652222,-0.6302199662912991,-0.09677814845040895,0.6445863431373864,-0.09717526387021816,-1.4463898907990527,-2.0917955994019106,-2.001315136835139,-0.8473232649814627,0.139922269081989,-0.3753206611271995,0.14562517158303503,-0.336736296639522,-0.2781989764621719,-0.39538495251940764,-0.7542317947280249,-0.06954043328019323,0.342155587605138,0.20358303739323313,0.03942483098965129,-0.38829062431761174,-0.3431463901033275,0.040328945048127285,-0.19314614237142322,-0.0276673976970485,0.12630103901959966,0.10240355388771755,-0.32081013284144533
ABVE,2026-01-02,1.6699999570846558,1.8799999952316284,1.6299999952316284,1.8300000429153442,1321500.0,,,,0.0,0.25,,0.0,,,,,,,,,,,,,,1.4430305387434275,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2521664183320407,-2.4911391481015452,-0.2529358774074306,1.1189462508646775,-0.510551877855962,-0.630334650955127,-0.09660587501999628,0.6418451395371472,-0.099314618677586,-1.4433030764990706,-2.088829626982337,-1.9968252563785722,-0.8445530453991384,0.13722378289938741,-0.3757356449441845,0.14844807057880163,-0.3417144975144796,-0.2754133340940374,-0.3902562585646831,-0.7538824643106127,-0.0724737787473038,0.3420896058578444,0.20251033347738873,0.03703105140428446,-0.3847182200033587,-0.33221116802527106,0.045484912543307804,-0.19307462628803299,-0.02671655448996933,0.11741179726757377,0.10104106687714876,-0.31205596671619945
